Assembly Accession	Organism Name	Organism Taxonomic ID	Assembly BioProject Accession	Assembly BioSample Accession	Assembly Name	Organism Infraspecific Names Strain	Assembly BioSample Strain 	Assembly Sequencing Tech	Assembly Stats Total Number of Chromosomes	Assembly Stats Total Sequence Length	Assembly Stats Genome Coverage	Assembly BioSample Project name  	CheckM completeness	CheckM completeness percentile	CheckM contamination	Assembly Release Date
GCF_036080935.1	Enterobacter hormaechei	158836	PRJNA812595	SAMN39595401	ASM3608093v2	2024CK-00066	2024CK-00066	Oxford Nanopore GridION; Illumina MiSeq	4	4796397	50.0x		99.31	47.54757	0.39	2024-04-06
GCF_036687415.1	Enterobacter hormaechei	158836	PRJNA1064408	SAMN39434824	B19446	B19446	B19446	Illumina NovaSeq; Oxford Nanopore MinION	2	4971151	101.0x		99.24	39.577168	0.62	2024-04-05
GCF_037217235.1	Enterobacter hormaechei	158836	PRJNA1085666	SAMN40316311	ASM3721723v1	RH3	RH3	Illumina NovaSeq; PacBio Sequel	4	4934160	432.0x		99.46	71.96617	0.48	2024-04-05
GCF_038069265.1	Enterobacter hormaechei	158836	PRJNA812595	SAMN40921372	ASM3806926v2	2024CK-00374	2024CK-00374	Illumina MiSeq; Oxford Nanopore GridION	4	5071096	50.0x		99.24	39.577168	2	2024-05-31
GCF_038418305.1	Enterobacter hormaechei	158836	PRJNA812595	SAMN41020283	ASM3841830v2	2024CK-00459	2024CK-00459	Oxford Nanopore GridION; Illumina MiSeq	6	5000145	65.0x		99.31	47.54757	0.73	2024-06-12
GCF_038626985.1	Enterobacter hormaechei	158836	PRJNA812595	SAMN41094950	ASM3862698v2	2024CK-00479	2024CK-00479	Oxford Nanopore GridION; Illumina MiSeq	4	5225065	69.0x		99.72	98.79493	0.82	2024-05-31
GCF_038627025.1	Enterobacter hormaechei	158836	PRJNA812595	SAMN41094952	ASM3862702v2	2024CK-00477	2024CK-00477	Illumina MiSeq; Oxford Nanopore GridION	3	4869100	25.0x		99.19	31.183933	1.17	2024-06-12
GCF_038627045.1	Enterobacter hormaechei	158836	PRJNA812595	SAMN41094953	ASM3862704v2	2024CK-00476	2024CK-00476	Illumina MiSeq; Oxford Nanopore GridION	3	4935672	60.0x		99.2	31.564482	0.81	2024-06-12
GCF_038627095.1	Enterobacter hormaechei	158836	PRJNA812595	SAMN41094957	ASM3862709v2	2024CK-00534	2024CK-00534	Oxford Nanopore GridION; Illumina MiSeq	3	5037436	85.0x		98.7	8.477801	1.11	2024-06-12
GCF_039734725.1	Enterobacter hormaechei	158836	PRJNA812595	SAMN41479334	ASM3973472v2	2024CK-00699	2024CK-00699	Oxford Nanopore GridION; Illumina MiSeq	2	4911077	60.0x		99.61	94.989426	0.58	2024-09-25
GCF_039906065.1	Enterobacter hormaechei	158836	PRJNA1114384	SAMN41483274	ASM3990606v1	YY1	YY1	PacBio RSII	2	5029295	100.0x		99.51	91.12051	0.8	2024-05-31
GCF_040437135.1	Enterobacter hormaechei	158836	PRJNA1120246	SAMN41685801	ASM4043713v1	273722-2	273722-2	Oxford Nanopore PromethION	1	4619015	36.0x		99.78	99.93658	1.23	2024-07-02
GCF_040437535.1	Enterobacter hormaechei	158836	PRJNA1120246	SAMN41685802	ASM4043753v1	273722-3	273722-3	Oxford Nanopore PromethION	2	4622151	14.2x		99.68	95.75053	1.23	2024-07-02
GCF_040543265.1	Enterobacter hormaechei	158836	PRJNA1119654	SAMN41660857	ASM4054326v1	Z226-3	Z226-3	Oxford Nanopore PromethION	1	4684001	16.0x		99.45	67.80127	0.03	2024-07-09
GCF_040548635.1	Enterobacter hormaechei	158836	PRJNA1119654	SAMN41660821	ASM4054863v1	Z81-2	Z81-2	Oxford Nanopore PromethION	1	4835803	29.0x		99.51	91.12051	0.05	2024-07-09
GCF_040735515.1	Enterobacter hormaechei	158836	PRJNA1034027	SAMN38049408	ASM4073551v1	19Y000373	19Y000373	Illumina MiSeq; Oxford Nanopore MinION	3	5203737	124.0x		98.47	6.0465117	0.84	2024-07-17
GCF_041004125.1	Enterobacter hormaechei	158836	PRJNA1135755	SAMN42440403	W180	W180	W180	Oxford Nanopore	6	5036820	253.0x		99.15	28.054968	0.59	2024-08-03
GCF_041004285.1	Enterobacter hormaechei	158836	PRJNA1135755	SAMN42440397	W139	W139	W139	Oxford Nanopore	10	5395208	245.0x		99.11	23.107822	1.44	2024-08-03
GCF_041004465.1	Enterobacter hormaechei	158836	PRJNA1135755	SAMN42440393	W76	W76	W76	Oxford Nanopore	4	5018626	236.0x		99.48	73.784355	1.95	2024-08-03
GCF_041004475.1	Enterobacter hormaechei	158836	PRJNA1135755	SAMN42440392	W73	W73	W73	Oxford Nanopore	9	5127138	229.0x		99.45	67.80127	1.21	2024-08-03
GCF_041005335.1	Enterobacter hormaechei	158836	PRJNA1135755	SAMN42440390	W57	W57	W57	Oxford Nanopore	5	5159863	229.0x		99.15	28.054968	1.53	2024-08-03
GCF_041005825.1	Enterobacter hormaechei	158836	PRJNA1135755	SAMN42440389	W55	W55	W55	Oxford Nanopore	6	5405902	214.0x		99.24	39.577168	2.66	2024-08-03
GCF_041005965.1	Enterobacter hormaechei	158836	PRJNA1135755	SAMN42440387	W38	W38	W38	Oxford Nanopore	4	5162172	215.0x		99.04	19.556025	1.8	2024-08-03
GCF_041378885.1	Enterobacter hormaechei	158836	PRJNA791797	SAMN42901643	ASM4137888v1	17CRE03	17CRE03	Illumina MiSeq; Oxford Nanopore MinION	6	5023766	100.0x		99.25	41.92389	0.39	2024-08-22
GCF_041378905.1	Enterobacter hormaechei	158836	PRJNA791797	SAMN42902467	ASM4137890v1	CRECL61	CRECL61	Illumina MiSeq; Oxford Nanopore MinION	5	5040135	100.0x		99.25	41.92389	1.19	2024-08-22
GCF_041378915.1	Enterobacter hormaechei	158836	PRJNA791797	SAMN42902419	ASM4137891v1	CRECL11	CRECL11	Illumina MiSeq; Oxford Nanopore MinION	4	5075353	100.0x		99.25	41.92389	1.19	2024-08-22
GCF_041378925.1	Enterobacter hormaechei	158836	PRJNA791797	SAMN42902456	ASM4137892v1	CRECL21	CRECL21	Illumina MiSeq; Oxford Nanopore MinION	4	5071312	100.0x		99.25	41.92389	1.19	2024-08-22
GCF_041410215.1	Enterobacter hormaechei	158836	PRJNA791797	SAMN43023879	ASM4141021v1	CRECL55	CRECL55	Illumina MiSeq; Oxford Nanopore MinION	5	5263976	100.0x		99.25	41.92389	1.29	2024-08-23
GCF_042762715.1	Enterobacter hormaechei	158836	PRJNA865392	SAMN30120906	CZH_Ehorm_1.0	EHA64	EHA64	DNBSEQ(PE150); Oxford Nanopore PromethION	2	4628426	279.0x		99.48	73.784355	0.46	2024-10-11
GCF_001729745.1	Enterobacter hormaechei subsp. hoffmannii	1812934	PRJNA259658	SAMN05581748	ASM172974v1	DSM 14563	DSM 14563	PacBio	2	4678566	15.3x		99.21	32.45243	0.1	2016-09-16
GCF_002968455.1	Enterobacter hormaechei subsp. hoffmannii	1812934	PRJNA316321	SAMN07291508	ASM296845v1	AR_0365		Pacbio; Illumina	5	5334198	16.6x		99.24	39.577168	1.7	2018-03-05
GCF_009834325.1	Enterobacter hormaechei subsp. hoffmannii	1812934	PRJNA339843	SAMN10654518	ASM983432v1	Eh1	Eh1	Illumina NextSeq; Oxford Nanopore	5	5144877	134.3x		99.06	20.739958	1.83	2020-01-08
GCF_010319625.1	Enterobacter hormaechei subsp. hoffmannii	1812934	PRJDB8177	SAMD00167169	ASM1031962v1	OIPH-N069	OIPH-N069	Illumina MiSeq; Oxford Nanopore Technologies MinION	5	4990877		Genome sequence of KHM-1 producing Enterobacter hormaechei subsp. hoffmannii, OIPH-N069.	99.15	28.054968	1.25	2020-01-27
GCF_000750225.1	Enterobacter hormaechei subsp. hoffmannii ECNIH3	1333851	PRJNA202894	SAMN02713683	ASM75022v1	ECNIH3	ECNIH3	Pacific Biosciences RS II	5	5061388	170.0x		99.15	28.054968	1.65	2014-09-09
GCF_000750275.1	Enterobacter hormaechei subsp. hoffmannii ECR091	1333849	PRJNA202892	SAMN02713646	ASM75027v1	ECR091	ECR091	Pacific Biosciences RS II	4	4959888	120.0x		99.15	28.054968	1.36	2014-09-09
GCF_000814205.1	Enterobacter hormaechei subsp. hormaechei	301105	PRJNA259658	SAMN03067416	ASM81420v1	34983	34983	Pacbio RS	4	5063734	8.2x		99.29	43.784355	2.08	2015-01-05
GCF_025266795.1	Enterobacter hormaechei subsp. hormaechei	301105	PRJNA845926	SAMN28865091	ASM2526679v1	ECC33	ECC33	Illumina HiSeq; PacBio	3	4821919	100.0x		99.15	28.054968	0.95	2022-09-19
GCF_031852185.1	Enterobacter hormaechei subsp. hormaechei	301105	PRJNA1017966	SAMN37418113	ASM3185218v1	Naas 2022_1	Naas 2022_1	PacBio Sequel; Illumina	1	4546522	233.4x		99.61	94.989426	0.3	2023-09-24
GCF_001729705.1	Enterobacter hormaechei subsp. oharae	301102	PRJNA259658	SAMN05581749	ASM172970v1	DSM 16687	DSM 16687	PacBio	1	4724316	15.5x		99.25	41.92389	1.28	2016-09-16
GCF_020097195.1	Enterobacter hormaechei subsp. oharae	301102	PRJNA231221	SAMN21402700	ASM2009719v1	FDAARGOS_1533	FDAARGOS_1533	Pacbio; Illumina	3	4731597	1403.8x		99.25	41.92389	1.28	2021-09-23
GCF_000807425.2	Enterobacter hormaechei subsp. steigerwaltii	299766	PRJNA259658	SAMN03067417	ASM80742v4	34998	34998	Pacbio RS II	6	5303516	8.6x		99.44	59.408035	1.84	2015-08-18
GCF_000814125.3	Enterobacter hormaechei subsp. steigerwaltii	299766	PRJNA259658	SAMN03067414	ASM81412v3	34977	34977	Pacbio RS	4	5209251	12.4x		99.51	91.12051	1.27	2015-07-30
GCF_001729725.1	Enterobacter hormaechei subsp. steigerwaltii	299766	PRJNA259658	SAMN05581751	ASM172972v1	DSM 16691	DSM 16691	PacBio	1	4782480	14.0x		99.07	21.0148	0.22	2016-09-16
GCF_007556795.1	Enterobacter hormaechei subsp. steigerwaltii	299766	PRJNA549322	SAMN12306076	ASM755679v1	ME-1	ME-1	Oxford Nanopore MiniION; Illumina HiSeq	5	5091865	100.0x		99.51	91.12051	1.1	2019-07-27
GCF_015535675.1	Enterobacter hormaechei subsp. steigerwaltii	299766	PRJNA664791	SAMN16233514	ASM1553567v1	BD-50-Eh	BD-50-Eh	Oxford Nanopore MinION; Illumina NovaSeq	5	5312895	605.4x		98.68	7.9069767	0.87	2020-11-17
GCF_019355415.1	Enterobacter hormaechei subsp. steigerwaltii	299766	PRJNA607616	SAMN14142282	ASM1935541v1	08-175	08-175	Illumina, PacBio	6	5097404	656.0x		98.57	6.4693446	0.44	2021-07-27
GCF_023023665.1	Enterobacter hormaechei subsp. steigerwaltii	299766	PRJNA762162	SAMN21379550	ASM2302366v1	14269-yvys	14269-yvys	Oxford Nanopore MinION	4	5192032	10.0x		99.04	19.556025	1.1	2022-04-18
GCF_024218835.1	Enterobacter hormaechei subsp. steigerwaltii	299766	PRJNA794990	SAMN24667500	ASM2421883v1	VKH10	VKH10	Illumina MiSeq; Oxford Nanopore MinION	2	4855498	72.0x		99.51	91.12051	0.17	2022-07-12
GCF_025244885.1	Enterobacter hormaechei subsp. steigerwaltii	299766	PRJNA877370	SAMN30697279	ASM2524488v1	JT.WLB1A	JT.WLB1A	Illumina MiSeq; Oxford Nanopore MinION	1	4553867	330.0x		99.51	91.12051	0.17	2022-09-18
GCF_025311535.1	Enterobacter hormaechei subsp. steigerwaltii	299766	PRJNA877279	SAMN30695413	ASM2531153v1	colR	colR	Hybrid: Illumina NovaSeq and Oxford Nanopore MinION	2	4987708	727.0x		99.24	39.577168	0.89	2022-09-20
GCF_025311555.1	Enterobacter hormaechei subsp. steigerwaltii	299766	PRJNA877279	SAMN30695412	ASM2531155v1	csa13R	csa13R	Hybrid: Illumina NovaSeq and Oxford Nanopore MinION	2	4964002	556.0x		99.51	91.12051	0.89	2022-09-20
GCF_025311595.1	Enterobacter hormaechei subsp. steigerwaltii	299766	PRJNA877279	SAMN30695411	ASM2531159v1	4236	4236	Hybrid: Illumina NovaSeq and Oxford Nanopore MinION	2	4960175	415.0x		99.51	91.12051	0.89	2022-09-20
GCF_027920365.1	Enterobacter hormaechei subsp. steigerwaltii	299766	PRJNA917514	SAMN32541572	ASM2792036v1	WYTS.MG41	WYTS.MG41	Illumina NovaSeq; Oxford Nanopore MinION	1	4656323	113.0x		99.51	91.12051	0.27	2023-01-19
GCF_000807405.2	Enterobacter hormaechei subsp. xiangfangensis	1296536	PRJNA259658	SAMN03067415	ASM80740v4	34978	34978	Pacbio RS II	7	5160986	7.8x		99.58	93.93235	0.86	2015-08-18
GCF_000814225.1	Enterobacter hormaechei subsp. xiangfangensis	1296536	PRJNA259658	SAMN03067418	ASM81422v1	34399	34399	Pacbio RS	4	5056146	9.4x		99.45	67.80127	1.39	2015-01-05
GCF_001729785.1	Enterobacter hormaechei subsp. xiangfangensis	1296536	PRJNA259658	SAMN05581746	ASM172978v1	LMG27195	LMG27195	PacBio	1	4661849	16.1x		99.32	48.266384	0.39	2016-09-16
GCF_003382725.1	Enterobacter hormaechei subsp. xiangfangensis	1296536	PRJNA417482	SAMN09071586	ASM338272v1	OSUVMCKPC4-2	OSUVMCKPC4-2	PacBio	3	5215377	29.4x		99.39	55.433403	1.23	2018-08-13
GCF_003586025.1	Enterobacter hormaechei subsp. xiangfangensis	1296536	PRJNA417482	SAMN07988874	ASM358602v1	OSUKPC4_L	OSUKPC4_L	PacBio	3	5213879	178.8x		99.39	55.433403	1.23	2018-06-06
GCF_003964795.2	Enterobacter hormaechei subsp. xiangfangensis	1296536	PRJNA415108	SAMN10525000	ASM396479v2	WCHEX045001	WCHEX045001	Illumina HiSeq; Oxford Nanopore MiniION	4	4864731	200.0x		99.72	98.79493	0.91	2019-09-03
GCF_014931695.1	Enterobacter hormaechei subsp. xiangfangensis	1296536	PRJNA630224	SAMN14828832	ASM1493169v1	Ec61	Ec61	Illumina MiSeq; Oxford Nanopore MiniION	4	5123505	120.0x		99.05	19.852009	1.16	2020-10-26
GCF_022376815.1	Enterobacter hormaechei subsp. xiangfangensis	1296536	PRJNA686409	SAMN17117771	ASM2237681v1	OSUCZKPC4-140	OSUCZKPC4-140	PacBio RS	4	5244071	100.0x		99.02	16.997887	0.26	2022-02-23
GCF_024585325.1	Enterobacter hormaechei subsp. xiangfangensis	1296536	PRJNA837392	SAMN28200646	ASM2458532v1	va18651	va18651	PacBio RSII	5	5389653	2500.0x		99.46	71.96617	1.49	2022-08-08
GCF_026109755.1	Enterobacter hormaechei subsp. xiangfangensis	1296536	PRJNA824643	SAMN27409789	ASM2610975v1	HD8642	HD8642	Oxford Nanopore	4	5016836	100.0x		99.51	91.12051	1.22	2022-11-09
GCF_028752775.1	Enterobacter hormaechei subsp. xiangfangensis	1296536	PRJNA721536	SAMN21522362	ASM2875277v1	MDCL 3	MDCL 3	Oxford Nanopore MinION; Illumina NovaSeq	3	5000180	250.0x		99.46	71.96617	1.29	2023-02-21
GCF_029639565.1	Enterobacter hormaechei subsp. xiangfangensis	1296536	PRJNA951873	SAMN34062071	ASM2963956v1	F81Y	F81Y	Illumina NovaSep; PacBio Sequel	1	4672898	240.0x		99.22	33.46723	0.86	2023-04-10
GCF_030062075.1	Enterobacter hormaechei subsp. xiangfangensis	1296536	PRJNA721536	SAMN26810699	ASM3006207v1	CNCI 7	CNCI 7	Oxford Nanopore MinION; Illumina NovaSeq	2	4981346	250.0x		99.45	67.80127	1.11	2023-05-22
GCF_003594935.2	Enterobacter huaxiensis	2494702	PRJNA415108	SAMN09845186	ASM359493v2	090008	090008	Illumina HiSeq; Oxford Nanopore MiniION	2	5037746	200.0x		99.53	100	1.02	2022-04-04
GCF_023023125.1	Enterobacter kobei	208224	PRJNA762162	SAMN21379554	ASM2302312v1	11778-yvys	11778-yvys	Oxford Nanopore MinION	2	4780485	10.0x		99.49	42.666668	0.12	2022-04-18
GCF_001729765.1	Enterobacter kobei	208224	PRJNA259658	SAMN05581747	ASM172976v1	DSM 13645	DSM 13645	PacBio	2	4927478	12.0x		97.04	3.7333333	0.14	2016-09-16
GCF_003665375.1	Enterobacter kobei	208224	PRJNA415108	SAMN08027255	ASM366537v1	WCHEK045523	WCHEK045523	Illumina HiSeq; Oxford Nanopore MiniION	5	5166790	200.0x		99.22	18.133333	1.77	2018-10-17
GCF_008365235.1	Enterobacter kobei	208224	PRJNA562727	SAMN12648938	ASM836523v1	EB_P8_L5_01.19	EB_P8_L5_01.19	Oxford Nanopore MiniION; Illumina HiSeq	7	5197300	100.0x		95.75	2.9333334	0.86	2019-09-10
GCF_008931545.1	Enterobacter kobei	208224	PRJNA550014	SAMN12289356	ASM893154v1	C16	C16	Oxford Nanopore MiniION	4	5366747	1557.0x		99.47	38.4	1.34	2019-10-09
GCF_011604705.1	Enterobacter kobei	208224	PRJNA604100	SAMN14372987	ASM1160470v1	070	070	Oxford Nanopore MiniION; Illumina MiSeq	5	5183338	50.0x		99.88	97.6	1.05	2020-03-22
GCF_014041955.1	Enterobacter kobei	208224	PRJNA647675	SAMN15594913	ASM1404195v1	IB2020	IB2020	PacBio Sequel	7	5419765	384.0x		98.91	9.333333	0.98	2020-08-02
GCF_015135595.1	Enterobacter kobei	208224	PRJDB9036	SAMD00195891	ASM1513559v1	STW0522-51	STW0522-51	Sequel; NextSeq 500	7	5163318	315.0x	whole genome sequencing of Enterobacter kobei str. STW0522-51	99.16	16.266666	0.5	2020-10-08
GCF_015135855.1	Enterobacter kobei	208224	PRJDB9036	SAMD00195900	ASM1513585v1	STW0522-60	STW0522-60	Sequel; NextSeq 500	6	5412308	409.0x	whole genome sequencing of Enterobacter kobei str. STW0522-60	99.53	52.533333	1.58	2020-10-08
GCF_015136055.1	Enterobacter kobei	208224	PRJDB9036	SAMD00195902	ASM1513605v1	STW0522-62	STW0522-62	Sequel; NextSeq 500	13	5244779	550.0x	whole genome sequencing of Enterobacter kobei str. STW0522-62	99.43	34.133335	0.17	2020-10-08
GCF_015137465.1	Enterobacter kobei	208224	PRJDB9036	SAMD00195972	ASM1513746v1	STN0717-53	STN0717-53	Sequel; NextSeq 500	10	5400778	315.0x	whole genome sequencing of Enterobacter kobei str. STN0717-53	99.49	42.666668	1.3	2020-10-08
GCF_018323985.1	Enterobacter kobei	208224	PRJDB11476	SAMD00294602	ASM1832398v1	JCM 8580	JCM 8580	Illumina MiSeq; ONT MinION	2	4737575	230.0x	Genome information of non-pathogenic bacteria closely related to pathogenic bacteria	94.94	1.6	2.05	2021-04-22
GCF_022559745.1	Enterobacter kobei	208224	PRJNA780373	SAMN23139065	ASM2255974v1	6	6	Oxford Nanopore MinION	1	4860688	200.0x		99.8	96.8	0.18	2022-03-14
GCF_023023705.1	Enterobacter kobei	208224	PRJNA762162	SAMN21379548	ASM2302370v1	12379-yvys	12379-yvys	Oxford Nanopore MinION	5	5003243	10.0x		99.62	90.933334	0.35	2022-04-18
GCF_023333675.1	Enterobacter kobei	208224	PRJNA762162	SAMN21379547	ASM2333367v1	11743-yvys	11743-yvys	Oxford Nanopore MinION	5	5494734	10.0x		99.62	90.933334	1.75	2022-04-18
GCF_023547315.1	Enterobacter kobei	208224	PRJNA775676	SAMN22612881	ASM2354731v1	Ek72	Ek72	Oxford Nanopore	4	5014089	110.0x		99.6	73.86667	0.95	2022-05-25
GCF_023558885.1	Enterobacter kobei	208224	PRJNA838260	SAMN28416108	ASM2355888v1	C210239	C210239	nanopore MinION	1	4885699	12.0x		99.6	73.86667	1.3	2022-05-26
GCF_023612495.1	Enterobacter kobei	208224	PRJNA705514	SAMN18091014	ASM2361249v1	CDL29	CDL29	PacBio Sequel	1	4659650	440.0x		99.29	21.866667	0.03	2022-05-31
GCF_025398875.1	Enterobacter kobei	208224	PRJNA880756	SAMN30864116	ASM2539887v1	SG.H2a	SG.H2a	Illumina MiSeq; Oxford Nanopore MinION	3	4833204	312.0x		99.5	44	0.15	2022-09-25
GCF_026240695.1	Enterobacter kobei	208224	PRJNA899984	SAMN31675492	ASM2624069v1	SCLZS19	SCLZS19	Oxford Nanopore; Illumina	10	5574492	200.0x		98.95	10.4	1.68	2022-11-20
GCF_027595935.1	Enterobacter kobei	208224	PRJNA667445	SAMN16387637	ASM2759593v1	S18_CRE18	S18_CRE18	Illumina NextSeq; PacBio Sequel	3	4952602	554.0x		99.59	57.866665	1.59	2023-01-09
GCF_031201845.1	Enterobacter kobei	208224	PRJNA832970	SAMN27926465	ASM3120184v1	EC1382	EC1382	PacBio RSII; Illumina HiSeq	4	5669901	44.3x		99.6	73.86667	1.66	2023-09-06
GCF_032248775.1	Enterobacter kobei	208224	PRJNA1019248	SAMN37475543	ASM3224877v1	DW108	DW108	PacBio RSII; Illumina HiSeq	4	4778466	100.0x		94.56	1.3333334	1.29	2023-10-01
GCF_038069355.1	Enterobacter kobei	208224	PRJNA812595	SAMN40921367	ASM3806935v2	2024CK-00368	2024CK-00368	Illumina MiSeq; Oxford Nanopore GridION	2	4687534	49.0x		99.52	50.133335	0.08	2024-05-31
GCF_001750725.1	Enterobacter ludwigii	299767	PRJNA343411	SAMN05787341	ASM175072v1	EN-119	EN-119	PacBio	2	4952770	69.0x		98.9	7.6086955	0.3	2016-10-03
GCF_000512375.1	Enterobacter ludwigii	299767	PRJNA210654	SAMN02641647	ASM51237v1	P101	P101	PacBio	1	5369929			99.47	30.97826	0.94	2013-12-31
GCF_002025685.1	Enterobacter ludwigii	299767	PRJNA357031	SAMN06130962	ASM202568v1	AA4	AA4	PacBio	1	4799256	135.0x		99.61	98.36957	0.03	2017-03-13
GCF_005518115.1	Enterobacter ludwigii	299767	PRJNA532789	SAMN11415570	ASM551811v1	JP6	JP6	PacBio; Illumina MiSeq	1	4681598	150.0x		94.41	2.173913	0.03	2019-05-20
GCF_005848825.1	Enterobacter ludwigii	299767	PRJNA532821	SAMN11415807	ASM584882v1	JP9	JP9	PacBio; Illumina MiSeq	1	4681542	150.0x		96.52	3.8043478	0.03	2019-05-27
GCF_005890075.1	Enterobacter ludwigii	299767	PRJNA532824	SAMN11415809	ASM589007v1	I42	I42	PacBio; Illumina MiSeq	1	4719369	150.0x		99.6	64.13043	0.08	2019-05-30
GCF_006385915.1	Enterobacter ludwigii	299767	PRJNA548420	SAMN12026966	ASM638591v1	I140	I140	PacBio	1	4719401	150.0x		99.6	64.13043	0.08	2019-06-24
GCF_013375975.1	Enterobacter ludwigii	299767	PRJNA640151	SAMN15300311	ASM1337597v1	D42-sc-1712201	D42-sc-1712201	PacBio Sequel	1	4875486	331.0x		98.68	5.978261	0.37	2020-06-29
GCF_019047005.1	Enterobacter ludwigii	299767	PRJNA231221	SAMN16357578	ASM1904700v1	FDAARGOS 1436	FDAARGOS 1436	Pacbio; Illumina	1	4943437	1846.2x		99.53	44.02174	0.21	2021-06-28
GCF_019930965.1	Enterobacter ludwigii	299767	PRJNA231221	SAMN20888892	ASM1993096v1	FDAARGOS_1475	FDAARGOS_1475	Pacbio; Illumina	1	4730716	1408.8x		99.52	43.47826	0.17	2021-09-12
GCF_020099215.1	Enterobacter ludwigii	299767	PRJNA231221	SAMN21218854	ASM2009921v1	FDAARGOS_1498	FDAARGOS_1498	Pacbio; Illumina	1	4730711	1070.0x		99.6	64.13043	0.17	2021-09-23
GCF_020783215.1	Enterobacter ludwigii	299767	PRJNA774541	SAMN22567593	ASM2078321v1	994590	994590	Illumina MiSeq; Oxford Nanopore MinION	1	4763253	29.0x		99.52	43.47826	0.03	2021-11-07
GCF_020783235.1	Enterobacter ludwigii	299767	PRJNA774541	SAMN22567595	ASM2078323v1	197	197	Illumina MiSeq; Oxford Nanopore MinION	1	4663532	50.2x		98.98	8.152174	0.03	2021-11-07
GCF_020783255.1	Enterobacter ludwigii	299767	PRJNA774541	SAMN22567594	ASM2078325v1	196	196	Illumina MiSeq; Oxford Nanopore MinION	1	4763238	37.6x		99.61	98.36957	0.03	2021-11-07
GCF_022832735.1	Enterobacter ludwigii	299767	PRJNA821637	SAMN27117998	ASM2283273v1	Sb-9	Sb-9	Oxford Nanopore PromethION	3	5202422	72.9x		99.61	98.36957	0.25	2022-04-07
GCF_028198205.1	Enterobacter ludwigii	299767	PRJNA923839	SAMN32745804	ASM2819820v1	CM-TZ4	CM-TZ4	PacBio Sequel	6	5711988	375.0x		99.58	50	1.05	2023-01-28
GCF_029718255.1	Enterobacter ludwigii	299767	PRJNA605147	SAMN15488597	ASM2971825v1	RHB28-E3-C01	RHB28-E3-C01	Illumina/Nanopore	1	4687823	176.0x		99.61	98.36957	0.03	2023-04-13
GCF_029718315.1	Enterobacter ludwigii	299767	PRJNA605147	SAMN15488591	ASM2971831v1	RHB25-E3-C07	RHB25-E3-C07	Illumina/Nanopore	1	4700814	159.0x		99.61	98.36957	0.17	2023-04-13
GCF_029718885.1	Enterobacter ludwigii	299767	PRJNA605147	SAMN15488648	ASM2971888v1	RHB43-SE-C05	RHB43-SE-C05	Illumina/Nanopore	3	5067008	129.0x		99.61	98.36957	0.46	2023-04-13
GCF_029720995.1	Enterobacter ludwigii	299767	PRJNA605147	SAMN15488726	ASM2972099v1	RHB47-SO-C03	RHB47-SO-C03	Illumina/Nanopore	1	4811688	175.0x		99.61	98.36957	0.17	2023-04-13
GCF_029721015.1	Enterobacter ludwigii	299767	PRJNA605147	SAMN15488725	ASM2972101v1	RHB47-SO-C01	RHB47-SO-C01	Illumina/Nanopore	2	4905878	191.0x		99.59	52.717392	0.03	2023-04-13
GCF_029834565.1	Enterobacter ludwigii	299767	PRJNA954571	SAMN34152342	ASM2983456v1	I9455333cz	I9455333cz	hybrid, Illumina and Nanopore MinION	6	5394274	35.0x		99.12	11.956522	0.36	2023-04-19
GCF_030706805.1	Enterobacter ludwigii	299767	PRJNA812595	SAMN32978021	ASM3070680v1	2023CK-00067	2023CK-00067	Illumina MiSeq; Oxford Nanopore GridION	3	4866464	150.0x		99.6	64.13043	0.19	2023-08-10
GCF_031851395.1	Enterobacter ludwigii	299767	PRJNA1013080	SAMN37298530	ASM3185139v1	93A:C	93A:C	Illumina; Oxford Nanopore	2	5018583	28.0x		99.6	64.13043	0.58	2023-09-24
GCF_031851435.1	Enterobacter ludwigii	299767	PRJNA1013080	SAMN37298528	ASM3185143v1	09A:C	09A:C	Illumina; Oxford Nanopore	2	5051079	27.0x		99.51	38.04348	0.58	2023-09-24
GCF_031851515.1	Enterobacter ludwigii	299767	PRJNA1013080	SAMN37298523	ASM3185151v1	51A:C	51A:C	Illumina; Oxford Nanopore	2	4997541	64.0x		98.99	8.695652	0.32	2023-09-24
GCF_031851585.1	Enterobacter ludwigii	299767	PRJNA1013080	SAMN37298533	ASM3185158v1	99202522619	99202522619	Illumina; Oxford Nanopore	3	4951631	29.0x		99.43	26.630434	0.04	2023-09-24
GCF_031851605.1	Enterobacter ludwigii	299767	PRJNA1013080	SAMN37298532	ASM3185160v1	99202523580	99202523580	Illumina; Oxford Nanopore	3	4951358	28.0x		99.51	38.04348	0.04	2023-09-24
GCF_033954935.1	Enterobacter ludwigii	299767	PRJNA983988	SAMN35741682	ASM3395493v1	21KM2472	21KM2472	Oxford Nanopore; Illumina	1	4633081	122.0x		99.7	98.91304	0.17	2023-11-27
GCF_035323105.1	Enterobacter ludwigii	299767	PRJNA998770	SAMN37144499	ASM3532310v1	AG32E	AG32E	Oxford Nanopore GridION	2	4950365	82.0x		99.1	11.413043	0.32	2024-01-09
GCF_035324935.1	Enterobacter ludwigii	299767	PRJNA998770	SAMN37486346	ASM3532493v1	ES13E	ES13E	Oxford Nanopore GridION	1	4938084	59.0x		99.32	19.02174	0.1	2024-01-09
