run	platform	true_size	v030_estimate	v1_estimate	v030_relative_error	v1_relative_error	source
SRR12615804	OXFORD_NANOPORE	2062281	2178048	2200463	5.6135	6.7004	norm
SRR12616185	OXFORD_NANOPORE	2045304	2140968	2140968	4.6773	4.6773	norm
SRR12619349	OXFORD_NANOPORE	2011542	2080742	2080742	3.4401	3.4401	norm
SRR12622389	OXFORD_NANOPORE	2277197	2616460	2616460	14.8983	14.8983	norm
SRR12622390	OXFORD_NANOPORE	2277197	2689715	2689715	18.1152	18.1152	norm
SRR12622391	OXFORD_NANOPORE	2277198	2934824	2934824	28.8787	28.8787	norm
SRR12622397	OXFORD_NANOPORE	2277198	2566452	2566452	12.7022	12.7022	norm
SRR12622398	OXFORD_NANOPORE	2277198	2752090	2752090	20.8542	20.8542	norm
SRR12622399	OXFORD_NANOPORE	2277198	2564403	2564403	12.6122	12.6122	norm
SRR12622400	OXFORD_NANOPORE	2277198	2777674	2777674	21.9777	21.9777	norm
SRR12622555	PACBIO_SMRT	3922746	7436545	6050804	89.5750	54.2492	pb_preset
SRR12628169	OXFORD_NANOPORE	5746424	6040104	6040104	5.1107	5.1107	norm
SRR12695182	OXFORD_NANOPORE	2957228	3076938	3076938	4.0480	4.0480	norm
SRR12697331	OXFORD_NANOPORE	7367353	7193856	7193856	-2.3549	-2.3549	norm
SRR12697332	OXFORD_NANOPORE	6870625	6986598	6986598	1.6880	1.6880	norm
SRR12697334	OXFORD_NANOPORE	7240218	7023290	7023290	-2.9962	-2.9962	norm
SRR12704060	PACBIO_SMRT	5185050	6914088	5988924	33.3466	15.5037	pb_preset
SRR12704061	PACBIO_SMRT	6093178	7864874	6931958	29.0767	13.7659	pb_preset
SRR12713672	OXFORD_NANOPORE	4187797	5776458	5776458	37.9355	37.9355	norm
SRR12720144	OXFORD_NANOPORE	3013505	3090440	3090440	2.5530	2.5530	norm
SRR12739076	PACBIO_SMRT	3077465	6544207	5096526	112.6493	65.6079	pb_preset
SRR12739077	PACBIO_SMRT	3077465	7162544	5348761	132.7417	73.8041	pb_preset
SRR12739078	PACBIO_SMRT	3077465	6566920	5147204	113.3873	67.2547	pb_preset
SRR12765273	OXFORD_NANOPORE	2958807	3237108	3237108	9.4059	9.4059	norm
SRR12799752	OXFORD_NANOPORE	2496734	2517456	2517456	0.8300	0.8300	norm
SRR12800422	PACBIO_SMRT	891641	1310067	1141334	46.9276	28.0038	pb_preset
SRR12801728	OXFORD_NANOPORE	4399032	4983390	4983390	13.2838	13.2838	norm
SRR12804324	OXFORD_NANOPORE	2093987	3260061	3260061	55.6868	55.6868	norm
SRR12805687	OXFORD_NANOPORE	2018144	3034861	3034861	50.3788	50.3788	norm
SRR12805693	OXFORD_NANOPORE	2022727	3052194	3052194	50.8950	50.8950	norm
SRR12811577	PACBIO_SMRT	5896689	12166913	10634205	106.3347	80.3420	pb_preset
SRR12811583	PACBIO_SMRT	5825322	20001288	16151100	243.3508	177.2568	pb_preset
SRR12811588	PACBIO_SMRT	5515915	18037576	14963388	227.0097	171.2766	pb_preset
SRR12811598	PACBIO_SMRT	5624921	10009393	8812124	77.9473	56.6622	pb_preset
SRR12824648	OXFORD_NANOPORE	3020299	3012482	3012482	-0.2588	-0.2588	norm
SRR12824650	OXFORD_NANOPORE	2799835	2821693	2821693	0.7807	0.7807	norm
SRR12825098	OXFORD_NANOPORE	5015190	4709205	4856187	-6.1012	-3.1704	norm
SRR12825305	OXFORD_NANOPORE	1775624	1766319	1766319	-0.5240	-0.5240	norm
SRR12825849	PACBIO_SMRT	2132299	2865090	2681023	34.3662	25.7339	pb_preset
SRR12825855	PACBIO_SMRT	3152123	4454447	4118470	41.3158	30.6570	pb_preset
SRR12825871	OXFORD_NANOPORE	6306352	8664836	8664836	37.3985	37.3985	norm
SRR12825879	PACBIO_SMRT	4647315	5356755	5108926	15.2656	9.9329	pb_preset
SRR12825882	PACBIO_SMRT	2075758	2539504	2396677	22.3410	15.4603	pb_preset
SRR12881567	OXFORD_NANOPORE	1728764	2236532	2715058	29.3717	57.0520	norm
SRR12881568	OXFORD_NANOPORE	1728764	1685164	1699846	-2.5220	-1.6728	norm
SRR12883149	OXFORD_NANOPORE	3562720	3346502	3346502	-6.0689	-6.0689	norm
SRR12905381	OXFORD_NANOPORE	7189892	7770009	7770009	8.0685	8.0685	norm
SRR12919160	OXFORD_NANOPORE	8085095	11270118	11270118	39.3938	39.3938	norm
SRR12921566	OXFORD_NANOPORE	1702402	1794954	1794954	5.4366	5.4366	norm
SRR12921573	OXFORD_NANOPORE	1706438	1711600	1711600	0.3025	0.3025	norm
SRR12921574	OXFORD_NANOPORE	1662107	1852599	1846200	11.4609	11.0759	norm
SRR12921575	OXFORD_NANOPORE	1734736	1807032	1807032	4.1676	4.1676	norm
SRR12933777	PACBIO_SMRT	2479638	2164078	1026505	-12.7261	-58.6026	pb_preset
SRR12933779	PACBIO_SMRT	2479638	2953936	2795020	19.1277	12.7189	pb_preset
SRR12934924	PACBIO_SMRT	5200450	7303922	6288413	40.4479	20.9206	pb_preset
SRR12934927	PACBIO_SMRT	4593248	6564594	5747610	42.9183	25.1317	pb_preset
SRR12935942	OXFORD_NANOPORE	9137078	9623578	9623578	5.3245	5.3245	norm
SRR12935945	OXFORD_NANOPORE	8489442	9332282	9332282	9.9281	9.9281	norm
SRR12935947	OXFORD_NANOPORE	8312872	9411253	9411253	13.2130	13.2130	norm
SRR12935953	OXFORD_NANOPORE	8358211	14665788	14665788	75.4656	75.4656	norm
SRR12935955	OXFORD_NANOPORE	10772313	17303844	17303844	60.6326	60.6326	norm
SRR12935957	OXFORD_NANOPORE	8798068	19577624	19577624	122.5219	122.5219	norm
SRR12935959	OXFORD_NANOPORE	8795756	20191220	20191220	129.5564	129.5564	norm
SRR12935970	OXFORD_NANOPORE	8514676	20211310	20211310	137.3703	137.3703	norm
SRR12935974	OXFORD_NANOPORE	9195219	18447996	18447996	100.6260	100.6260	norm
SRR12935990	OXFORD_NANOPORE	8543891	15815336	15815336	85.1069	85.1069	norm
SRR12936005	OXFORD_NANOPORE	8663238	14969910	14969910	72.7981	72.7981	norm
SRR12936016	OXFORD_NANOPORE	8094900	14907168	14907168	84.1551	84.1551	norm
SRR12936022	OXFORD_NANOPORE	7471060	17357396	17357396	132.3284	132.3284	norm
SRR12936035	OXFORD_NANOPORE	9494728	18187076	18187076	91.5492	91.5492	norm
SRR12936660	PACBIO_SMRT	2904831	3572721	3335819	22.9924	14.8369	pb_preset
SRR12937579	OXFORD_NANOPORE	4032448	4010708	4010708	-0.5391	-0.5391	norm
SRR12937956	PACBIO_SMRT	2583917	4535196	3928698	75.5163	52.0443	pb_preset
SRR12937959	PACBIO_SMRT	5484374	7826331	7061546	42.7024	28.7576	pb_preset
SRR12938614	PACBIO_SMRT	5275260	6947373	6473288	31.6973	22.7103	pb_preset
SRR12938618	PACBIO_SMRT	2669288	4008627	3680840	50.1759	37.8959	pb_preset
SRR12938891	PACBIO_SMRT	2634722	3840494	3594872	45.7647	36.4422	pb_preset
SRR12938913	PACBIO_SMRT	2556308	3409992	3182853	33.3952	24.5098	pb_preset
SRR12938915	PACBIO_SMRT	2543530	3303340	3099898	29.8723	21.8739	pb_preset
SRR12938961	PACBIO_SMRT	3026517	3999014	3670009	32.1325	21.2618	pb_preset
SRR12951179	OXFORD_NANOPORE	3984955	3799673	3799673	-4.6495	-4.6495	norm
SRR12951264	OXFORD_NANOPORE	4299254	5371068	5371068	24.9302	24.9302	norm
SRR12953601	PACBIO_SMRT	4745224	9381543	6924468	97.7050	45.9250	pb_preset
SRR12970172	PACBIO_SMRT	3712988	5023842	4720180	35.3046	27.1262	pb_preset
SRR12970238	PACBIO_SMRT	3982951	6030420	5797292	51.4058	45.5527	pb_preset
SRR12970287	PACBIO_SMRT	3520443	5359726	5034100	52.2458	42.9962	pb_preset
SRR12975746	PACBIO_SMRT	3267287	3901938	3685014	19.4244	12.7851	pb_preset
SRR12995612	OXFORD_NANOPORE	6950092	6821664	6821664	-1.8479	-1.8479	norm
SRR12995722	OXFORD_NANOPORE	2140969	2667913	2667913	24.6124	24.6124	norm
SRR12995723	OXFORD_NANOPORE	2040445	2828302	2828302	38.6120	38.6120	norm
SRR12995724	OXFORD_NANOPORE	2044877	2284860	2284860	11.7358	11.7358	norm
SRR12995728	OXFORD_NANOPORE	2154778	2548172	2518348	18.2568	16.8727	norm
SRR13009132	OXFORD_NANOPORE	2726177	1801319	1312035	-33.9251	-51.8727	norm
SRR13014004	OXFORD_NANOPORE	3364212	3241137	3241137	-3.6584	-3.6584	norm
SRR13014167	PACBIO_SMRT	2297680	3593963	3142184	56.4170	36.7546	pb_preset
SRR13051579	OXFORD_NANOPORE	2654961	2284888	2424671	-13.9389	-8.6740	norm
SRR13067349	OXFORD_NANOPORE	7401610	7529788	7529788	1.7318	1.7318	norm
SRR13067350	OXFORD_NANOPORE	7622528	7705779	7705779	1.0922	1.0922	norm
SRR13106728	OXFORD_NANOPORE	4940458	5055064	5024428	2.3197	1.6996	norm
SRR13148778	OXFORD_NANOPORE	1011807	1014660	1054237	0.2820	4.1935	norm
SRR13170267	OXFORD_NANOPORE	3290672	3603204	3603204	9.4975	9.4975	norm
SRR13181161	PACBIO_SMRT	2474943	3138020	2914888	26.7916	17.7760	pb_preset
SRR13181163	PACBIO_SMRT	2823217	3573284	3318994	26.5678	17.5607	pb_preset
SRR13181232	PACBIO_SMRT	2886678	3643291	3371752	26.2105	16.8039	pb_preset
SRR13181256	PACBIO_SMRT	2446807	3142872	2930340	28.4479	19.7618	pb_preset
SRR13181480	PACBIO_SMRT	2493537	3201290	2933694	28.3835	17.6519	pb_preset
SRR13181598	PACBIO_SMRT	2093459	2468035	2334336	17.8927	11.5062	pb_preset
SRR13181644	PACBIO_SMRT	2652865	3363295	3154084	26.7797	18.8935	pb_preset
SRR13181648	PACBIO_SMRT	8031696	13644343	11545004	69.8812	43.7430	pb_preset
SRR13181652	PACBIO_SMRT	8053224	14287582	11946517	77.4144	48.3445	pb_preset
SRR13181654	PACBIO_SMRT	8082614	15528770	12628480	92.1256	56.2425	pb_preset
SRR13181655	PACBIO_SMRT	8084048	16307282	13220236	101.7217	63.5349	pb_preset
SRR13181968	PACBIO_SMRT	3928855	5009844	4635940	27.5141	17.9972	pb_preset
SRR13181987	PACBIO_SMRT	4570957	5599141	5267151	22.4938	15.2308	pb_preset
SRR13182350	PACBIO_SMRT	3619096	4761036	4380864	31.5532	21.0486	pb_preset
SRR13182352	PACBIO_SMRT	4813143	6161951	5760689	28.0234	19.6866	pb_preset
SRR13182360	PACBIO_SMRT	6613968	8397694	7786774	26.9691	17.7323	pb_preset
SRR13182422	PACBIO_SMRT	4812038	5984071	5518660	24.3563	14.6845	pb_preset
SRR13182559	PACBIO_SMRT	9798102	13650878	12419030	39.3217	26.7493	pb_preset
SRR13182589	PACBIO_SMRT	2774993	3333935	3111955	20.1421	12.1428	pb_preset
SRR13182691	PACBIO_SMRT	5058561	5944551	5568185	17.5147	10.0745	pb_preset
SRR13183063	PACBIO_SMRT	6409097	8180275	7535846	27.6354	17.5805	pb_preset
SRR13183064	PACBIO_SMRT	6409097	1932965	1513291	-69.8403	-76.3884	pb_preset
SRR13183065	PACBIO_SMRT	6409097	7671859	7093073	19.7027	10.6720	pb_preset
SRR13183067	PACBIO_SMRT	4808040	1825389	768420	-62.0347	-84.0180	pb_preset
SRR13183068	PACBIO_SMRT	4808040	5796811	5369347	20.5649	11.6743	pb_preset
SRR13183069	PACBIO_SMRT	4808040	5896958	5490794	22.6479	14.2003	pb_preset
SRR13183070	PACBIO_SMRT	4808040	6229520	5733018	29.5646	19.2382	pb_preset
SRR13183072	PACBIO_SMRT	4808040	5734646	4970590	19.2720	3.3808	pb_preset
SRR13183073	PACBIO_SMRT	4808040	8317840	6634914	72.9986	37.9962	pb_preset
SRR13195542	PACBIO_SMRT	3202093	6160477	4432080	92.3891	38.4120	pb_preset
SRR13206615	OXFORD_NANOPORE	3858501	3746398	3746398	-2.9054	-2.9054	norm
SRR13213119	OXFORD_NANOPORE	3433913	4943742	4943742	43.9682	43.9682	norm
SRR13232968	OXFORD_NANOPORE	2605463	2599818	2599818	-0.2167	-0.2167	norm
SRR13238532	PACBIO_SMRT	3038845	3867432	3468227	27.2665	14.1298	pb_preset
SRR13238693	OXFORD_NANOPORE	5457289	5859068	5859068	7.3622	7.3622	norm
SRR13243581	OXFORD_NANOPORE	3176084	3099650	3099650	-2.4065	-2.4065	norm
SRR13249531	OXFORD_NANOPORE	4309805	4885082	4885082	13.3481	13.3481	norm
SRR13249533	OXFORD_NANOPORE	5198760	5377986	5377986	3.4475	3.4475	norm
SRR13258485	OXFORD_NANOPORE	3095810	3532993	3532993	14.1218	14.1218	norm
SRR13260924	OXFORD_NANOPORE	7832041	8796318	8796318	12.3120	12.3120	norm
SRR13289773	OXFORD_NANOPORE	2482394	2693420	2693420	8.5009	8.5009	norm
SRR13295144	OXFORD_NANOPORE	6144893	5946996	5946996	-3.2205	-3.2205	norm
SRR13295147	OXFORD_NANOPORE	6419483	6738026	6738026	4.9621	4.9621	norm
SRR13348937	OXFORD_NANOPORE	5685062	6340197	6340197	11.5238	11.5238	norm
SRR13348939	OXFORD_NANOPORE	5676463	6273286	6273286	10.5140	10.5140	norm
SRR13348942	OXFORD_NANOPORE	5391123	5917062	5917062	9.7556	9.7556	norm
SRR13355265	PACBIO_SMRT	5282528	6332272	5806527	19.8720	9.9195	pb_preset
SRR13365414	PACBIO_SMRT	8193177	10326596	8632594	26.0390	5.3632	pb_preset
SRR13443114	PACBIO_SMRT	2871334	3372512	3214902	17.4545	11.9654	pb_preset
SRR13447360	PACBIO_SMRT	2886896	3399632	3239616	17.7608	12.2180	pb_preset
SRR13449989	PACBIO_SMRT	2901393	3441586	3280316	18.6184	13.0600	pb_preset
SRR13495179	OXFORD_NANOPORE	9073954	9510572	9510572	4.8118	4.8118	norm
SRR13496244	OXFORD_NANOPORE	6423694	5721505	5913659	-10.9312	-7.9399	norm
SRR13500706	OXFORD_NANOPORE	2222653	2187257	2187257	-1.5925	-1.5925	norm
SRR13601331	OXFORD_NANOPORE	5186229	5519812	5519812	6.4321	6.4321	norm
SRR13624705	OXFORD_NANOPORE	6407559	6605178	6605178	3.0842	3.0842	norm
SRR13642592	PACBIO_SMRT	10410654	12476064	11529194	19.8394	10.7442	pb_preset
SRR13668413	PACBIO_SMRT	5758155	7189443	6535454	24.8567	13.4991	pb_preset
SRR13668427	PACBIO_SMRT	5557539	7012409	6443350	26.1783	15.9389	pb_preset
SRR13668439	PACBIO_SMRT	5488143	6366689	5956060	16.0081	8.5260	pb_preset
SRR13670000	PACBIO_SMRT	5082423	6062884	5690766	19.2912	11.9695	pb_preset
SRR13670059	OXFORD_NANOPORE	2481998	3945950	3945950	58.9828	58.9828	norm
SRR13670061	OXFORD_NANOPORE	2431961	3293614	3293614	35.4304	35.4304	norm
SRR13670131	PACBIO_SMRT	5346695	6127756	5759562	14.6083	7.7219	pb_preset
SRR13670628	PACBIO_SMRT	5590265	6374596	5977903	14.0303	6.9342	pb_preset
SRR13672888	PACBIO_SMRT	5168953	5873575	5504788	13.6318	6.4972	pb_preset
SRR13674228	PACBIO_SMRT	5278156	6259779	5860330	18.5978	11.0299	pb_preset
SRR13674234	PACBIO_SMRT	5271331	7118825	6456596	35.0480	22.4851	pb_preset
SRR13674408	PACBIO_SMRT	3373067	4623481	4181320	37.0705	23.9620	pb_preset
SRR13674440	PACBIO_SMRT	1981414	2466406	2303624	24.4771	16.2616	pb_preset
SRR13674457	PACBIO_SMRT	4105080	5230020	4625726	27.4036	12.6830	pb_preset
SRR13674459	PACBIO_SMRT	4105436	5004319	4524508	21.8949	10.2077	pb_preset
SRR13674460	PACBIO_SMRT	4105604	6154266	5235158	49.8992	27.5125	pb_preset
SRR13674462	PACBIO_SMRT	4105067	5880155	5115497	43.2414	24.6142	pb_preset
SRR13674464	PACBIO_SMRT	4104031	6172347	5303914	50.3972	29.2367	pb_preset
SRR13679345	OXFORD_NANOPORE	1988065	1999021	1999021	0.5511	0.5511	norm
SRR13684572	OXFORD_NANOPORE	5990776	7350882	7350882	22.7033	22.7033	norm
SRR13684636	OXFORD_NANOPORE	5235458	8137625	8137625	55.4329	55.4329	norm
SRR13706186	OXFORD_NANOPORE	5821889	6406500	6406500	10.0416	10.0416	norm
SRR13734254	OXFORD_NANOPORE	4993755	5016682	5016682	0.4591	0.4591	norm
SRR13758474	OXFORD_NANOPORE	3300602	3569081	3569081	8.1342	8.1342	norm
SRR13759105	OXFORD_NANOPORE	5194957	7100280	7100280	36.6764	36.6764	norm
SRR13759106	OXFORD_NANOPORE	5194957	6972316	6972316	34.2132	34.2132	norm
SRR13775335	OXFORD_NANOPORE	7266754	8582090	8582090	18.1007	18.1007	norm
SRR13781387	OXFORD_NANOPORE	5755538	6012744	6012744	4.4688	4.4688	norm
SRR13837247	PACBIO_SMRT	4131713	4058372	4061610	-1.7751	-1.6967	pb_preset
SRR13950234	OXFORD_NANOPORE	5506261	5653677	5653677	2.6772	2.6772	norm
SRR13950235	OXFORD_NANOPORE	5506561	5785995	5785995	5.0746	5.0746	norm
SRR13950237	OXFORD_NANOPORE	5506152	5645107	5645107	2.5236	2.5236	norm
SRR13950244	OXFORD_NANOPORE	5324563	6408604	6408604	20.3592	20.3592	norm
SRR13950255	OXFORD_NANOPORE	5505637	5970959	6058637	8.4517	10.0443	norm
SRR13950258	OXFORD_NANOPORE	5505780	5642800	5642800	2.4887	2.4887	norm
SRR13950259	OXFORD_NANOPORE	5501188	5430240	5430240	-1.2897	-1.2897	norm
SRR13950262	OXFORD_NANOPORE	5506524	5800324	5800324	5.3355	5.3355	norm
SRR13950267	OXFORD_NANOPORE	5504459	5820942	5820942	5.7496	5.7496	norm
SRR13950269	OXFORD_NANOPORE	5483579	5870812	5870812	7.0617	7.0617	norm
SRR13950270	OXFORD_NANOPORE	5505497	5896390	5896390	7.1000	7.1000	norm
SRR13950271	OXFORD_NANOPORE	5506528	2994408	5545598	-45.6208	0.7095	norm
SRR13950272	OXFORD_NANOPORE	5505142	5288628	5416742	-3.9329	-1.6058	norm
SRR13950274	OXFORD_NANOPORE	5323525	5295092	5295092	-0.5341	-0.5341	norm
SRR13950275	OXFORD_NANOPORE	5505898	5594690	5594690	1.6127	1.6127	norm
SRR13950277	OXFORD_NANOPORE	5506783	5924316	5924316	7.5822	7.5822	norm
SRR13988657	OXFORD_NANOPORE	8773899	9307032	9307032	6.0764	6.0764	norm
SRR13994224	OXFORD_NANOPORE	2514993	2416229	2416229	-3.9270	-3.9270	norm
SRR13997396	OXFORD_NANOPORE	6557255	9406630	9406630	43.4538	43.4538	norm
SRR13997403	OXFORD_NANOPORE	6359424	6430544	6541069	1.1183	2.8563	norm
SRR13997408	OXFORD_NANOPORE	6052372	11574453	11440658	91.2383	89.0277	norm
SRR13997411	OXFORD_NANOPORE	6660163	9193955	9193955	38.0440	38.0440	norm
SRR13997413	OXFORD_NANOPORE	6660338	7936984	7936984	19.1679	19.1679	norm
SRR13997416	OXFORD_NANOPORE	6172967	6614907	6614907	7.1593	7.1593	norm
SRR13997540	OXFORD_NANOPORE	6704238	7015235	7015235	4.6388	4.6388	norm
SRR14069006	PACBIO_SMRT	11399526	13173216	11337739	15.5593	-0.5420	pb_preset
SRR14069081	PACBIO_SMRT	11474152	13742545	12033218	19.7696	4.8724	pb_preset
SRR14069623	PACBIO_SMRT	8753169	10098672	9373901	15.3716	7.0915	pb_preset
SRR14074355	OXFORD_NANOPORE	3316585	4563784	4563784	37.6049	37.6049	norm
SRR14074357	OXFORD_NANOPORE	1999512	2019903	2019903	1.0198	1.0198	norm
SRR14075991	PACBIO_SMRT	11609901	17279114	14051552	48.8308	21.0308	pb_preset
SRR14103433	PACBIO_SMRT	5329607	5633903	5513927	5.7095	3.4584	pb_preset
SRR14108820	PACBIO_SMRT	5024671	6149560	5699194	22.3873	13.4242	pb_preset
SRR14108825	PACBIO_SMRT	5114786	6032189	5670897	17.9363	10.8726	pb_preset
SRR14108827	PACBIO_SMRT	5120965	6169764	5783977	20.4805	12.9470	pb_preset
SRR14139163	OXFORD_NANOPORE	5447405	7066053	7066053	29.7141	29.7141	norm
SRR14140347	PACBIO_SMRT	4434434	5189962	4905822	17.0378	10.6302	pb_preset
SRR14173251	OXFORD_NANOPORE	5649484	5488498	5488498	-2.8496	-2.8496	norm
SRR14181225	PACBIO_SMRT	4301978	11360082	9962500	164.0665	131.5795	pb_preset
SRR14230911	OXFORD_NANOPORE	2114033	2468369	2468369	16.7611	16.7611	norm
SRR14230912	OXFORD_NANOPORE	2056769	2326391	2326391	13.1090	13.1090	norm
SRR14230917	OXFORD_NANOPORE	2136182	2580962	2580962	20.8213	20.8213	norm
SRR14230918	OXFORD_NANOPORE	2136182	2717324	2717324	27.2047	27.2047	norm
SRR14230919	OXFORD_NANOPORE	2099536	2346406	2346406	11.7583	11.7583	norm
SRR14230920	OXFORD_NANOPORE	2090429	2197744	2211521	5.1336	5.7927	norm
SRR14230921	OXFORD_NANOPORE	2117704	2322199	2322199	9.6564	9.6564	norm
SRR14230922	OXFORD_NANOPORE	2101534	2394702	2394702	13.9502	13.9502	norm
SRR14230960	OXFORD_NANOPORE	2075620	2110334	2110334	1.6725	1.6725	norm
SRR14230963	OXFORD_NANOPORE	2137402	2154602	2154602	0.8047	0.8047	norm
SRR14230973	OXFORD_NANOPORE	2097492	2325694	2325694	10.8798	10.8798	norm
SRR14230976	OXFORD_NANOPORE	2100561	2113224	2113224	0.6028	0.6028	norm
SRR14230984	OXFORD_NANOPORE	2140995	2148477	2148477	0.3495	0.3495	norm
SRR14294771	PACBIO_SMRT	1931655	1758680	1780543	-8.9548	-7.8229	pb_preset
SRR14294773	PACBIO_SMRT	1935288	1867845	1877834	-3.4849	-2.9688	pb_preset
SRR14294776	PACBIO_SMRT	1963796	1849698	1855493	-5.8101	-5.5150	pb_preset
SRR14294777	PACBIO_SMRT	1931655	1800674	1821909	-6.7808	-5.6814	pb_preset
SRR14294779	PACBIO_SMRT	1935288	2372372	2155642	22.5850	11.3861	pb_preset
SRR14294782	PACBIO_SMRT	1963796	2378372	2145328	21.1110	9.2439	pb_preset
SRR14294783	PACBIO_SMRT	1931655	2321055	2100377	20.1589	8.7346	pb_preset
SRR14294785	PACBIO_SMRT	1935288	1812694	1834101	-6.3347	-5.2285	pb_preset
SRR14294788	PACBIO_SMRT	1963796	1785724	1795392	-9.0677	-8.5754	pb_preset
SRR14294789	PACBIO_SMRT	1955459	1864089	1868964	-4.6726	-4.4233	pb_preset
SRR14318404	PACBIO_SMRT	9796466	11680336	11131493	19.2301	13.6276	pb_preset
SRR14417043	PACBIO_SMRT	5000591	6221260	5780498	24.4105	15.5963	pb_preset
SRR14419376	PACBIO_SMRT	5509697	7180250	6142488	30.3202	11.4850	pb_preset
SRR14419378	PACBIO_SMRT	5634629	6380094	5684563	13.2301	0.8862	pb_preset
SRR14419384	PACBIO_SMRT	5639358	8316827	6794010	47.4783	20.4749	pb_preset
SRR14419388	PACBIO_SMRT	5555594	8549484	6937986	53.8896	24.8829	pb_preset
SRR14455658	OXFORD_NANOPORE	9635564	9183447	9183447	-4.6922	-4.6922	norm
SRR14458708	PACBIO_SMRT	9359382	11842680	10733012	26.5327	14.6765	pb_preset
SRR14480597	OXFORD_NANOPORE	2246389	2007048	2007048	-10.6545	-10.6545	norm
SRR14506983	OXFORD_NANOPORE	6592641	6840504	6840504	3.7597	3.7597	norm
SRR14619782	PACBIO_SMRT	2915057	4040451	3770962	38.6062	29.3615	pb_preset
SRR14621278	PACBIO_SMRT	2901641	4039840	3771427	39.2260	29.9757	pb_preset
SRR14621967	PACBIO_SMRT	2912948	3948976	3725034	35.5663	27.8785	pb_preset
SRR14640385	OXFORD_NANOPORE	6481491	6787331	6787331	4.7187	4.7187	norm
SRR14684522	OXFORD_NANOPORE	5896793	6785662	6785662	15.0738	15.0738	norm
SRR14684523	OXFORD_NANOPORE	6188426	7993802	7993802	29.1734	29.1734	norm
SRR14684526	OXFORD_NANOPORE	6384123	5876156	6347889	-7.9567	-0.5676	norm
SRR14684527	OXFORD_NANOPORE	5978719	6358346	6358346	6.3496	6.3496	norm
SRR14684528	OXFORD_NANOPORE	5080097	5416140	5416140	6.6149	6.6149	norm
SRR14684531	OXFORD_NANOPORE	5019735	5174360	5174360	3.0803	3.0803	norm
SRR14684532	OXFORD_NANOPORE	5191848	5735224	5735224	10.4659	10.4659	norm
SRR14684533	OXFORD_NANOPORE	5471029	5847154	5886848	6.8748	7.6004	norm
SRR14693196	PACBIO_SMRT	5405563	8025816	7001791	48.4733	29.5294	pb_preset
SRR14693198	PACBIO_SMRT	5346370	7942710	6892636	48.5627	28.9218	pb_preset
SRR14721505	OXFORD_NANOPORE	3364113	3480774	3480774	3.4678	3.4678	norm
SRR14757211	PACBIO_SMRT	2719233	3206226	2961088	17.9092	8.8942	pb_preset
SRR14757212	PACBIO_SMRT	2719235	3210004	2969228	18.0481	9.1935	pb_preset
SRR14757213	PACBIO_SMRT	2719166	3344807	3075117	23.0086	13.0904	pb_preset
SRR14757215	PACBIO_SMRT	2766978	3279686	3040352	18.5295	9.8799	pb_preset
SRR14757216	PACBIO_SMRT	2766976	3233014	2960293	16.8429	6.9866	pb_preset
SRR14757217	PACBIO_SMRT	2766976	3338022	3055624	20.6379	10.4319	pb_preset
SRR14757218	PACBIO_SMRT	2766978	3237734	2977985	17.0134	7.6259	pb_preset
SRR14757219	PACBIO_SMRT	2766975	3171067	2940276	14.6041	6.2632	pb_preset
SRR14757220	PACBIO_SMRT	2766975	3293694	3031007	19.0359	9.5423	pb_preset
SRR14757221	PACBIO_SMRT	2766990	3354664	3094908	21.2387	11.8511	pb_preset
SRR14757222	PACBIO_SMRT	2766976	3287970	3027876	18.8290	9.4291	pb_preset
SRR14757224	PACBIO_SMRT	2766976	3363690	3092999	21.5656	11.7826	pb_preset
SRR14766790	OXFORD_NANOPORE	6551245	6496316	6496316	-0.8385	-0.8385	norm
SRR14766796	OXFORD_NANOPORE	5607668	5724538	5724538	2.0841	2.0841	norm
SRR14766797	OXFORD_NANOPORE	7026924	9229090	9229090	31.3390	31.3390	norm
SRR14766802	OXFORD_NANOPORE	5046521	5069541	5069541	0.4562	0.4562	norm
SRR14766804	OXFORD_NANOPORE	5393636	5553402	5553402	2.9621	2.9621	norm
SRR14766806	OXFORD_NANOPORE	6630739	6754808	6754808	1.8711	1.8711	norm
SRR14766807	OXFORD_NANOPORE	6573451	6866377	6866377	4.4562	4.4562	norm
SRR14766808	OXFORD_NANOPORE	5758328	5713684	5713684	-0.7753	-0.7753	norm
SRR14766809	OXFORD_NANOPORE	6147080	6098060	6098060	-0.7975	-0.7975	norm
SRR14766813	OXFORD_NANOPORE	5987104	5685820	5685820	-5.0322	-5.0322	norm
SRR14766814	OXFORD_NANOPORE	6879672	6879815	6879815	0.0021	0.0021	norm
SRR14766826	OXFORD_NANOPORE	6621778	6607660	6607660	-0.2132	-0.2132	norm
SRR14766831	OXFORD_NANOPORE	6045338	6097260	6097260	0.8589	0.8589	norm
SRR14766833	OXFORD_NANOPORE	6073514	6075530	6075530	0.0332	0.0332	norm
SRR14766834	OXFORD_NANOPORE	6054205	6075762	6075762	0.3561	0.3561	norm
SRR14766839	OXFORD_NANOPORE	6307666	6382677	6382677	1.1892	1.1892	norm
SRR14766841	OXFORD_NANOPORE	6240195	6699760	6699760	7.3646	7.3646	norm
SRR14766842	OXFORD_NANOPORE	6107031	6242758	6242758	2.2225	2.2225	norm
SRR14804996	OXFORD_NANOPORE	5191720	5733896	5733896	10.4431	10.4431	norm
