run	platform	truth_bp	ont_preset_bp	pb_preset_bp	ont_preset_over_truth	pb_preset_over_truth	matches_issue36
SRR15291771	PACBIO_SMRT	4944083	5709016	5404575	1.1547	1.0931	yes
SRR15390434	PACBIO_SMRT	4791764	5132060	4742674	1.0710	0.9898	yes
SRR15390484	PACBIO_SMRT	5028051	5631414	4859359	1.1200	0.9664	yes
SRR15521836	PACBIO_SMRT	5374479	10466614	8696130	1.9475	1.6180	yes
SRR15521837	PACBIO_SMRT	6935738	11261577	9750509	1.6237	1.4058	yes
SRR15521842	PACBIO_SMRT	6352228	11458319	9838912	1.8038	1.5489	yes
SRR15521844	PACBIO_SMRT	6337561	11846063	10299989	1.8692	1.6252	yes
SRR15521845	PACBIO_SMRT	5307048	10053747	8636963	1.8944	1.6275	yes
SRR15530284	PACBIO_SMRT	6128315	11509618	8638936	1.8781	1.4097	yes
SRR15540408	PACBIO_SMRT	5608872	31328442	21593188	5.5855	3.8498	yes
SRR15540421	PACBIO_SMRT	5504345	20722658	15205997	3.7648	2.7625	yes
SRR15600651	PACBIO_SMRT	5620975	6661866	6016738	1.1852	1.0704	yes
SRR15616890	PACBIO_SMRT	8841474	15694518	11714052	1.7751	1.3249	yes
SRR15674694	PACBIO_SMRT	2098200	2720023	2472662	1.2964	1.1785	yes
SRR15683928	PACBIO_SMRT	7749151	9468954	8795666	1.2219	1.1350	yes
SRR15838435	PACBIO_SMRT	3604761	6398155	5437357	1.7749	1.5084	yes
SRR15871657	PACBIO_SMRT	4630138	6185186	5528500	1.3359	1.1940	yes
SRR15959708	PACBIO_SMRT	8262828	11312563	10260519	1.3691	1.2418	yes
SRR16016662	PACBIO_SMRT	9696490	13572931	11043733	1.3998	1.1389	yes
SRR16027114	OXFORD_NANOPORE	6596445	7212734	7334210	1.0934	1.1118	yes
SRR16089729	PACBIO_SMRT	2747362	3763576	3225964	1.3699	1.1742	yes
SRR16089745	PACBIO_SMRT	2891282	3175690	2919906	1.0984	1.0099	yes
SRR16089767	PACBIO_SMRT	2795270	4521468	3562568	1.6175	1.2745	yes
SRR16089769	PACBIO_SMRT	2807142	3141671	2886619	1.1192	1.0283	yes
SRR16089773	PACBIO_SMRT	2793634	3263432	2967957	1.1682	1.0624	yes
SRR16089781	PACBIO_SMRT	2814864	3104466	2906576	1.1029	1.0326	yes
SRR16089785	PACBIO_SMRT	2808924	3212936	2966087	1.1438	1.0560	yes
SRR16089787	PACBIO_SMRT	2792354	3050130	2802172	1.0923	1.0035	yes
SRR16089789	PACBIO_SMRT	2792354	3139505	2911206	1.1243	1.0426	yes
SRR16089793	PACBIO_SMRT	2866983	3031813	2805112	1.0575	0.9784	yes
SRR16089794	PACBIO_SMRT	2866983	3376487	3074421	1.1777	1.0724	yes
SRR16089807	PACBIO_SMRT	2800686	3107328	2853802	1.1095	1.0190	yes
SRR16093181	PACBIO_SMRT	5234516	6231368	5840346	1.1904	1.1157	yes
SRR16093182	PACBIO_SMRT	5234513	6201626	5799968	1.1848	1.1080	yes
SRR16093183	PACBIO_SMRT	5234480	6258818	5829937	1.1957	1.1138	yes
SRR16178825	PACBIO_SMRT	3919248	5172258	4750024	1.3197	1.2120	yes
SRR16249240	PACBIO_SMRT	6930499	11711921	9803128	1.6899	1.4145	yes
SRR16249248	PACBIO_SMRT	5071999	6720461	6171732	1.3250	1.2168	yes
SRR16249284	PACBIO_SMRT	3484743	4123867	3836020	1.1834	1.1008	yes
SRR16249301	PACBIO_SMRT	4375351	5348222	5036443	1.2224	1.1511	yes
SRR16249313	PACBIO_SMRT	2582814	3036986	2850365	1.1758	1.1036	yes
SRR16249315	PACBIO_SMRT	2561893	3031039	2871362	1.1831	1.1208	yes
SRR16249366	PACBIO_SMRT	2677377	3492556	3240033	1.3045	1.2102	yes
SRR16249368	PACBIO_SMRT	2881836	4063526	3709202	1.4100	1.2871	yes
SRR16251405	PACBIO_SMRT	4645928	5757076	5375257	1.2392	1.1570	yes
SRR16251406	PACBIO_SMRT	1928240	2551148	2398093	1.3230	1.2437	yes
SRR16251409	PACBIO_SMRT	1760933	2206114	2093853	1.2528	1.1891	yes
SRR16251423	PACBIO_SMRT	5162579	6585205	6111652	1.2756	1.1838	yes
SRR16251444	PACBIO_SMRT	4416959	5961363	5553170	1.3497	1.2572	yes
SRR16259016	PACBIO_SMRT	1946727	2294435	2182928	1.1786	1.1213	yes
SRR16259204	PACBIO_SMRT	6195642	7572768	7080921	1.2223	1.1429	yes
SRR16259360	PACBIO_SMRT	1934868	2275286	2181359	1.1759	1.1274	yes
SRR16259583	PACBIO_SMRT	1832872	2213286	2108241	1.2076	1.1502	yes
SRR16259731	PACBIO_SMRT	2615469	3227190	3060082	1.2339	1.1700	yes
SRR16263410	PACBIO_SMRT	5307108	6839339	6401784	1.2887	1.2063	yes
SRR16263412	PACBIO_SMRT	1965420	2424469	2305173	1.2336	1.1729	yes
SRR16263435	PACBIO_SMRT	3409142	3928520	3794673	1.1523	1.1131	yes
SRR16308509	PACBIO_SMRT	6811662	14720648	10340563	2.1611	1.5181	yes
SRR16494726	PACBIO_SMRT	2533318	2973079	2804764	1.1736	1.1072	yes
SRR16494727	PACBIO_SMRT	2534678	3100776	2930201	1.2233	1.1560	yes
SRR16494730	PACBIO_SMRT	2532287	2922246	2754914	1.1540	1.0879	yes
SRR16631313	PACBIO_SMRT	4966657	599649	632783	0.1207	0.1274	yes
SRR16676985	PACBIO_SMRT	7720745	9289130	8247160	1.2031	1.0682	yes
SRR16676988	PACBIO_SMRT	7796014	9625704	8411398	1.2347	1.0789	yes
SRR16767125	PACBIO_SMRT	4963479	833893	882453	0.1680	0.1778	yes
SRR16805543	PACBIO_SMRT	9161304	10406976	9739893	1.1360	1.0632	yes
SRR16950002	PACBIO_SMRT	6219103	7671168	7013880	1.2335	1.1278	yes
SRR16950003	PACBIO_SMRT	6130790	7462586	6840047	1.2172	1.1157	yes
SRR16950004	PACBIO_SMRT	6788027	8380572	7462473	1.2346	1.0994	yes
SRR16950006	PACBIO_SMRT	6448716	8278077	7013894	1.2837	1.0876	yes
SRR16950007	PACBIO_SMRT	6774308	8440452	7545304	1.2460	1.1138	yes
SRR16950008	PACBIO_SMRT	6855336	8836865	7714392	1.2890	1.1253	yes
SRR16950009	PACBIO_SMRT	7123501	8887396	7389362	1.2476	1.0373	yes
SRR16962373	PACBIO_SMRT	5827164	7251908	6600101	1.2445	1.1326	yes
SRR16962374	PACBIO_SMRT	6494068	7966705	7174564	1.2268	1.1048	yes
SRR16962375	PACBIO_SMRT	6468924	7560488	6979835	1.1687	1.0790	yes
SRR16962376	PACBIO_SMRT	6413006	7824842	7135858	1.2202	1.1127	yes
SRR16962377	PACBIO_SMRT	6550594	8167964	7362394	1.2469	1.1239	yes
SRR16962378	PACBIO_SMRT	6784155	8644358	7705842	1.2742	1.1359	yes
SRR16962380	PACBIO_SMRT	6046332	7563065	6855270	1.2509	1.1338	yes
SRR16962382	PACBIO_SMRT	5714883	8998723	7509461	1.5746	1.3140	yes
SRR16962383	PACBIO_SMRT	5931766	7898954	7102616	1.3316	1.1974	yes
SRR16962385	PACBIO_SMRT	6591181	8342041	7526352	1.2656	1.1419	yes
SRR16962387	PACBIO_SMRT	5727781	7456292	6750895	1.3018	1.1786	yes
SRR16962389	PACBIO_SMRT	5578888	7532550	6452743	1.3502	1.1566	yes
SRR16962390	PACBIO_SMRT	6414521	8041005	6906022	1.2536	1.0766	yes
SRR16962391	PACBIO_SMRT	6753303	8844054	7774299	1.3096	1.1512	yes
SRR16962393	PACBIO_SMRT	5665049	7333842	6299433	1.2946	1.1120	yes
SRR16962394	PACBIO_SMRT	5858994	7179870	6344329	1.2254	1.0828	yes
SRR16962395	PACBIO_SMRT	5917749	6758622	6201880	1.1421	1.0480	yes
SRR16962396	PACBIO_SMRT	5935759	7263849	6598844	1.2237	1.1117	yes
SRR16962397	PACBIO_SMRT	5975010	7125133	6540702	1.1925	1.0947	yes
SRR16962400	PACBIO_SMRT	6493931	7667179	6916728	1.1807	1.0651	yes
SRR16962406	PACBIO_SMRT	5874598	6941712	6311278	1.1816	1.0743	yes
SRR16962407	PACBIO_SMRT	6472652	8186542	7365124	1.2648	1.1379	yes
SRR16962408	PACBIO_SMRT	5897256	7461990	6515406	1.2653	1.1048	yes
SRR16972384	PACBIO_SMRT	1853687	3044531	2674194	1.6424	1.4426	yes
SRR17000714	PACBIO_SMRT	6984675	13075043	11554419	1.8720	1.6543	yes
SRR17115571	PACBIO_SMRT	1974909	2487144	2373928	1.2594	1.2020	yes
SRR17117120	PACBIO_SMRT	2281730	2795896	2665389	1.2253	1.1681	yes
SRR17117122	PACBIO_SMRT	2571801	3105024	2973415	1.2073	1.1562	yes
SRR17117123	PACBIO_SMRT	2713235	3376120	3212675	1.2443	1.1841	yes
SRR17117164	PACBIO_SMRT	2463627	2917402	2762932	1.1842	1.1215	yes
SRR17117182	PACBIO_SMRT	1984762	2294543	2153374	1.1561	1.0850	yes
SRR17118586	PACBIO_SMRT	4812066	5429646	5230492	1.1283	1.0870	yes
SRR17118588	PACBIO_SMRT	3168227	3698645	3527019	1.1674	1.1132	yes
SRR17119282	PACBIO_SMRT	5090549	6154936	5816422	1.2091	1.1426	yes
SRR17122010	PACBIO_SMRT	5575661	6784572	6411208	1.2168	1.1499	yes
SRR17124527	PACBIO_SMRT	6127734	7478470	7017900	1.2204	1.1453	yes
SRR17124529	PACBIO_SMRT	6453872	8058445	7550500	1.2486	1.1699	yes
SRR17124558	PACBIO_SMRT	6455194	7542905	7244210	1.1685	1.1222	yes
SRR17126946	PACBIO_SMRT	2333188	2994849	2853470	1.2836	1.2230	yes
SRR17126948	PACBIO_SMRT	2460750	3090996	2934026	1.2561	1.1923	yes
SRR17133875	PACBIO_SMRT	4766157	5884752	5710526	1.2347	1.1981	yes
SRR17188519	PACBIO_SMRT	4929712	967101	944904	0.1962	0.1917	yes
SRR17234886	PACBIO_SMRT	4397821	17702168	10662396	4.0252	2.4245	yes
SRR17234888	PACBIO_SMRT	4420979	16797022	10407967	3.7994	2.3542	yes
SRR17234894	PACBIO_SMRT	4407304	18966648	11627266	4.3035	2.6382	yes
SRR17234895	PACBIO_SMRT	4431508	25546350	13915180	5.7647	3.1401	yes
SRR17234896	PACBIO_SMRT	4421169	20751004	11294832	4.6936	2.5547	yes
SRR17234900	PACBIO_SMRT	4406184	17502420	9982866	3.9722	2.2656	yes
SRR17234903	PACBIO_SMRT	4416715	22445430	12939771	5.0819	2.9297	yes
SRR17284493	PACBIO_SMRT	4159450	7482585	6081852	1.7989	1.4622	yes
SRR17284691	PACBIO_SMRT	4421981	7800159	6375658	1.7640	1.4418	yes
SRR17390676	PACBIO_SMRT	5261336	5714047	5205922	1.0860	0.9895	yes
SRR17665523	PACBIO_SMRT	5478817	6057124	5903480	1.1056	1.0775	yes
SRR17782760	PACBIO_SMRT	11474152	17252556	15380004	1.5036	1.3404	yes
SRR17841630	PACBIO_SMRT	3625784	4576198	4174014	1.2621	1.1512	yes
SRR17853485	PACBIO_SMRT	5478817	6057124	5903480	1.1056	1.0775	yes
SRR17873538	PACBIO_SMRT	3126090	4698210	4179446	1.5029	1.3370	yes
SRR18010266	PACBIO_SMRT	5892443	6420978	6026047	1.0897	1.0227	yes
SRR18120112	PACBIO_SMRT	4656683	6129060	5307153	1.3162	1.1397	yes
SRR18206676	PACBIO_SMRT	4708077	7210005	6234630	1.5314	1.3242	yes
SRR18206677	PACBIO_SMRT	4661643	7562234	6404584	1.6222	1.3739	yes
SRR18299176	PACBIO_SMRT	6349913	8039863	7584086	1.2661	1.1944	yes
SRR18299177	PACBIO_SMRT	6664435	8330744	7850032	1.2500	1.1779	yes
SRR18299183	PACBIO_SMRT	6720071	8544225	8011530	1.2714	1.1922	yes
SRR18299185	PACBIO_SMRT	6892247	8791420	8337273	1.2756	1.2097	yes
SRR18299186	PACBIO_SMRT	6511042	8431708	7918981	1.2950	1.2162	yes
SRR18299189	PACBIO_SMRT	6974398	8899389	8342446	1.2760	1.1962	yes
SRR18299192	PACBIO_SMRT	7009041	8901344	8370603	1.2700	1.1943	yes
SRR18371756	PACBIO_SMRT	1876737	2264756	2096870	1.2068	1.1173	yes
SRR18425953	PACBIO_SMRT	5850727	6900116	6564640	1.1794	1.1220	yes
SRR18476736	PACBIO_SMRT	6970036	12015038	9982884	1.7238	1.4323	yes
SRR18560242	OXFORD_NANOPORE	2418866	2304203	2345985	0.9526	0.9699	yes
SRR18904150	PACBIO_SMRT	1848461	2074387	1977326	1.1222	1.0697	yes
SRR18904155	PACBIO_SMRT	1873403	2035381	1917172	1.0865	1.0234	yes
SRR18918020	PACBIO_SMRT	3878974	9963451	6974212	2.5686	1.7980	yes
SRR19160253	PACBIO_SMRT	3197704	3671017	3436535	1.1480	1.0747	yes
SRR19205248	PACBIO_SMRT	8435845	14441844	12876676	1.7120	1.5264	yes
SRR19519852	PACBIO_SMRT	2682232	2950460	2902448	1.1000	1.0821	yes
SRR19519855	PACBIO_SMRT	2722604	3111846	3053270	1.1430	1.1215	yes
SRR19519856	PACBIO_SMRT	2568159	2937739	2793839	1.1439	1.0879	yes
SRR19519859	PACBIO_SMRT	2560239	2874101	2809094	1.1226	1.0972	yes
SRR19519874	PACBIO_SMRT	2854929	3289729	3204844	1.1523	1.1226	yes
SRR19519875	PACBIO_SMRT	2855157	3260342	3185088	1.1419	1.1156	yes
SRR19519886	PACBIO_SMRT	2815114	3056968	2954908	1.0859	1.0497	yes
SRR19519887	PACBIO_SMRT	2714075	3116600	3047224	1.1483	1.1227	yes
SRR19519889	PACBIO_SMRT	2818719	3143625	3074215	1.1153	1.0906	yes
SRR19519893	PACBIO_SMRT	2751027	3051649	2989722	1.1093	1.0868	yes
SRR19519894	PACBIO_SMRT	2682239	3142127	3073749	1.1715	1.1460	yes
SRR19519903	PACBIO_SMRT	2552216	2862465	2712848	1.1216	1.0629	yes
SRR19519904	PACBIO_SMRT	2664378	3020377	2959422	1.1336	1.1107	yes
SRR19519905	PACBIO_SMRT	2789553	3107230	3017510	1.1139	1.0817	yes
SRR19519906	PACBIO_SMRT	2639354	3055560	2983330	1.1577	1.1303	yes
SRR19519907	PACBIO_SMRT	2700284	2975864	2904651	1.1021	1.0757	yes
SRR19519908	PACBIO_SMRT	2793276	3107118	3020048	1.1124	1.0812	yes
SRR19519909	PACBIO_SMRT	2616750	2983468	2839127	1.1401	1.0850	yes
SRR19519924	PACBIO_SMRT	2768007	3077832	3019458	1.1119	1.0908	yes
SRR19519925	PACBIO_SMRT	2828586	3123778	3049088	1.1044	1.0780	yes
SRR19519933	PACBIO_SMRT	2706864	3027009	2958630	1.1183	1.0930	yes
SRR19519935	PACBIO_SMRT	2432232	2782736	2725176	1.1441	1.1204	yes
SRR19519936	PACBIO_SMRT	2481135	2741070	2680260	1.1048	1.0803	yes
SRR19519939	PACBIO_SMRT	2462679	2754216	2711431	1.1184	1.1010	yes
SRR19519940	PACBIO_SMRT	2488720	2770445	2722221	1.1132	1.0938	yes
SRR19570818	PACBIO_SMRT	6383989	7123328	6592386	1.1158	1.0326	yes
SRR19572345	PACBIO_SMRT	3390424	4045953	3934834	1.1933	1.1606	yes
SRR19646378	PACBIO_SMRT	5969148	5748673	5824842	0.9631	0.9758	yes
SRR19646389	PACBIO_SMRT	5915411	5674398	5761998	0.9593	0.9741	yes
SRR19646390	PACBIO_SMRT	5918345	5744351	5801754	0.9706	0.9803	yes
SRR19646391	PACBIO_SMRT	5986784	5762413	5831928	0.9625	0.9741	yes
SRR19646392	PACBIO_SMRT	5988833	5715036	5788623	0.9543	0.9666	yes
SRR19646394	PACBIO_SMRT	6005098	5853343	5906720	0.9747	0.9836	yes
SRR19646395	PACBIO_SMRT	9120800	8441906	8575355	0.9256	0.9402	yes
SRR19646396	PACBIO_SMRT	9122278	8459458	8556824	0.9273	0.9380	yes
SRR19807560	PACBIO_SMRT	4450115	10811248	7490017	2.4294	1.6831	yes
SRR19820506	OXFORD_NANOPORE	6859859	7039354	7111788	1.0262	1.0367	yes
SRR19880591	PACBIO_SMRT	3030719	3706494	3442088	1.2230	1.1357	yes
SRR20280882	PACBIO_SMRT	2501534	2971064	2766171	1.1877	1.1058	yes
SRR20280883	PACBIO_SMRT	2419744	2978311	2744718	1.2308	1.1343	yes
SRR20280884	PACBIO_SMRT	2755930	3309932	3061166	1.2010	1.1108	yes
SRR20280886	PACBIO_SMRT	2420532	3363667	3039518	1.3896	1.2557	yes
SRR20280887	PACBIO_SMRT	2679563	3209313	3076537	1.1977	1.1481	yes
SRR20280888	PACBIO_SMRT	2749212	3268876	3111449	1.1890	1.1318	yes
SRR20280891	PACBIO_SMRT	2205122	4306867	3134820	1.9531	1.4216	yes
SRR20280894	PACBIO_SMRT	2492712	3090232	2853595	1.2397	1.1448	yes
SRR20461782	OXFORD_NANOPORE	8820026	12611570	14034648	1.4299	1.5912	yes
SRR20746747	PACBIO_SMRT	3303475	3811733	3672234	1.1539	1.1116	yes
SRR20907454	PACBIO_SMRT	5153871	9846842	7469256	1.9106	1.4493	yes
SRR20950142	PACBIO_SMRT	4963702	6418160	5628620	1.2930	1.1340	yes
SRR21079302	PACBIO_SMRT	2781669	3389182	3163542	1.2184	1.1373	yes
SRR21079304	PACBIO_SMRT	6515978	8916095	8119962	1.3683	1.2462	yes
SRR21131590	PACBIO_SMRT	2040580	2613799	2401181	1.2809	1.1767	yes
SRR21133403	PACBIO_SMRT	4980142	6663734	6106044	1.3381	1.2261	yes
SRR21133406	PACBIO_SMRT	6163560	7860260	7243410	1.2753	1.1752	yes
SRR21133407	PACBIO_SMRT	3936223	4988024	4589830	1.2672	1.1660	yes
SRR21166831	PACBIO_SMRT	2171060	2388677	2260822	1.1002	1.0413	yes
SRR21276823	PACBIO_SMRT	1935434	2325130	2210702	1.2013	1.1422	yes
SRR21285060	PACBIO_SMRT	4980142	6664145	6061242	1.3381	1.2171	yes
SRR21285063	PACBIO_SMRT	6163560	7851905	7258130	1.2739	1.1776	yes
SRR21285064	PACBIO_SMRT	3936223	4982200	4561739	1.2657	1.1589	yes
SRR21295163	PACBIO_SMRT	5535488	5331219	5387932	0.9631	0.9733	yes
SRR2132330	PACBIO_SMRT	4300706	6355750	5354734	1.4778	1.2451	yes
SRR21415892	OXFORD_NANOPORE	7145828	7396846	7484522	1.0351	1.0474	yes
SRR21430004	PACBIO_SMRT	2595287	2574818	2577460	0.9921	0.9931	yes
SRR21563152	PACBIO_SMRT	3988920	4732450	4362302	1.1864	1.0936	yes
SRR21563425	OXFORD_NANOPORE	8565674	8664594	8920582	1.0115	1.0414	yes
SRR21601282	PACBIO_SMRT	6249144	7883933	7354055	1.2616	1.1768	yes
SRR21630304	OXFORD_NANOPORE	8961255	8912814	8999110	0.9946	1.0042	yes
SRR2163058	PACBIO_SMRT	4300706	6355750	5354734	1.4778	1.2451	yes
SRR21643318	PACBIO_SMRT	3509359	4200834	3862139	1.1970	1.1005	yes
SRR21672106	PACBIO_SMRT	3046103	4416779	3727594	1.4500	1.2237	yes
SRR21696395	OXFORD_NANOPORE	8361142	9568033	9743068	1.1443	1.1653	yes
SRR21731845	PACBIO_SMRT	2159127	3358450	2924860	1.5555	1.3546	yes
SRR21793358	PACBIO_SMRT	4842577	5641013	5381593	1.1649	1.1113	yes
SRR22007585	PACBIO_SMRT	6685457	8804835	8137489	1.3170	1.2172	yes
SRR22007588	PACBIO_SMRT	4261730	5442825	5098312	1.2771	1.1963	yes
SRR22077206	PACBIO_SMRT	4035016	3838839	3851110	0.9514	0.9544	yes
SRR22094550	PACBIO_SMRT	5156952	5894371	5534014	1.1430	1.0731	yes
SRR22094552	PACBIO_SMRT	5154616	5871068	5458076	1.1390	1.0589	yes
SRR22094554	PACBIO_SMRT	5161803	5821384	5413904	1.1278	1.0488	yes
SRR22094555	PACBIO_SMRT	5214828	6037608	5568471	1.1578	1.0678	yes
SRR22253723	PACBIO_SMRT	3937483	4395866	4331365	1.1164	1.1000	yes
SRR22253726	PACBIO_SMRT	3750381	4294081	4177501	1.1450	1.1139	yes
SRR22253727	PACBIO_SMRT	3749418	4269824	4166551	1.1388	1.1113	yes
SRR22253728	PACBIO_SMRT	3750940	4340505	4197117	1.1572	1.1190	yes
SRR22272752	PACBIO_SMRT	8211675	13262419	10614232	1.6151	1.2926	yes
SRR22381796	PACBIO_SMRT	6179084	8751944	7914925	1.4164	1.2809	yes
SRR22381797	PACBIO_SMRT	6003144	8585968	7772862	1.4302	1.2948	yes
SRR22574257	OXFORD_NANOPORE	4525097	4579219	4716637	1.0120	1.0423	yes
SRR22805145	PACBIO_SMRT	5010245	6421131	5968237	1.2816	1.1912	yes
SRR22805297	PACBIO_SMRT	4289989	5392812	5026034	1.2571	1.1716	yes
SRR22809568	PACBIO_SMRT	3195259	3182570	3191966	0.9960	0.9990	yes
SRR22840785	PACBIO_SMRT	4574989	5344266	4923191	1.1681	1.0761	yes
SRR22876607	PACBIO_SMRT	3166259	4990614	4457604	1.5762	1.4078	yes
SRR22876612	PACBIO_SMRT	4006378	6754968	5927578	1.6861	1.4795	yes
SRR22984656	PACBIO_SMRT	4766362	5987052	5479600	1.2561	1.1496	yes
SRR23086700	PACBIO_SMRT	3694481	4762429	4453811	1.2891	1.2055	yes
SRR23095539	PACBIO_SMRT	5162213	4899798	4934636	0.9492	0.9559	yes
SRR23518000	PACBIO_SMRT	2161891	2766108	2522131	1.2795	1.1666	yes
SRR23518001	PACBIO_SMRT	2161891	3494782	2873080	1.6165	1.3290	yes
SRR23525315	PACBIO_SMRT	2133007	1952403	1950058	0.9153	0.9142	yes
SRR23525317	PACBIO_SMRT	2055713	2002752	2007100	0.9742	0.9764	yes
SRR23538270	PACBIO_SMRT	3305635	4267798	3987299	1.2911	1.2062	yes
SRR23562243	PACBIO_SMRT	5189876	7101662	6453290	1.3684	1.2434	yes
SRR23562248	PACBIO_SMRT	5075259	6889088	6297882	1.3574	1.2409	yes
SRR23636845	PACBIO_SMRT	3477232	4200819	4102317	1.2081	1.1798	yes
SRR23692898	PACBIO_SMRT	4891911	6015276	5699726	1.2296	1.1651	yes
SRR23697208	PACBIO_SMRT	3662325	3528780	3530840	0.9635	0.9641	yes
SRR23852394	PACBIO_SMRT	2679003	3230420	3076009	1.2058	1.1482	yes
SRR23891542	PACBIO_SMRT	4139584	6102486	5617514	1.4742	1.3570	yes
SRR23952291	PACBIO_SMRT	4310851	4103944	4170926	0.9520	0.9675	yes
SRR23952319	PACBIO_SMRT	6157393	5956956	5985386	0.9674	0.9721	yes
SRR24003359	PACBIO_SMRT	5041798	10757793	7989753	2.1337	1.5847	yes
SRR24105536	PACBIO_SMRT	1257910	1951579	1711394	1.5514	1.3605	yes
SRR24105538	PACBIO_SMRT	1269677	2067674	1788311	1.6285	1.4085	yes
SRR24105540	PACBIO_SMRT	1257745	2035018	1758880	1.6180	1.3984	yes
SRR24332397	PACBIO_SMRT	2223139	2325501	2205682	1.0460	0.9921	yes
SRR24356093	PACBIO_SMRT	7477410	10477430	8513749	1.4012	1.1386	yes
SRR24363119	PACBIO_SMRT	9677243	23206612	15655100	2.3981	1.6177	yes
SRR24363120	PACBIO_SMRT	9993776	21760808	14962165	2.1774	1.4971	yes
SRR24363422	PACBIO_SMRT	9706274	20579690	15362684	2.1202	1.5828	yes
SRR24498229	PACBIO_SMRT	3573060	3553975	3565418	0.9947	0.9979	yes
SRR24565792	OXFORD_NANOPORE	5979293	5812677	5853120	0.9721	0.9789	yes
SRR24633660	PACBIO_SMRT	3603828	4114351	3972537	1.1417	1.1023	yes
SRR24653076	PACBIO_SMRT	5690110	5557341	5600393	0.9767	0.9842	yes
SRR24831249	PACBIO_SMRT	3020766	3451290	3299752	1.1425	1.0924	yes
SRR25013904	PACBIO_SMRT	5938675	6955084	6537180	1.1712	1.1008	yes
SRR25041725	PACBIO_SMRT	9547725	12322487	11076604	1.2906	1.1601	yes
SRR25113362	PACBIO_SMRT	1928284	2228788	2091634	1.1558	1.0847	yes
SRR25120112	PACBIO_SMRT	2833095	3952047	3600833	1.3950	1.2710	yes
SRR25366715	PACBIO_SMRT	10672615	12391969	11429721	1.1611	1.0709	yes
SRR25775191	PACBIO_SMRT	4123266	4619530	4477082	1.1204	1.0858	yes
SRR25775193	PACBIO_SMRT	4120375	4659961	4516586	1.1310	1.0962	yes
SRR25775195	PACBIO_SMRT	4104154	4520724	4352994	1.1015	1.0606	yes
SRR25835575	PACBIO_SMRT	5880490	7240888	6768916	1.2313	1.1511	yes
SRR25916648	PACBIO_SMRT	2128578	2063168	2061605	0.9693	0.9685	yes
SRR26205285	PACBIO_SMRT	4147684	6798244	6017651	1.6390	1.4508	yes
SRR26302840	PACBIO_SMRT	2148242	1843555	1836021	0.8582	0.8547	yes
SRR26302841	PACBIO_SMRT	1991561	1877442	1905095	0.9427	0.9566	yes
SRR26305320	OXFORD_NANOPORE	6270416	6796867	7068096	1.0840	1.1272	yes
SRR26305322	PACBIO_SMRT	6274395	8125135	7373388	1.2950	1.1752	yes
SRR26305326	PACBIO_SMRT	6275358	8266820	7445338	1.3173	1.1864	yes
SRR26364401	PACBIO_SMRT	6921156	6552886	6649630	0.9468	0.9608	yes
SRR26382609	PACBIO_SMRT	7402177	6680039	6956096	0.9024	0.9397	yes
SRR26435097	PACBIO_SMRT	4123266	4687844	4545510	1.1369	1.1024	yes
SRR26435099	PACBIO_SMRT	4120375	4640832	4490276	1.1263	1.0898	yes
SRR26435101	PACBIO_SMRT	4104154	4557632	4398136	1.1105	1.0716	yes
SRR26473444	PACBIO_SMRT	4215606	7007502	6249193	1.6623	1.4824	yes
SRR26794288	PACBIO_SMRT	5060308	6788958	6264331	1.3416	1.2379	yes
SRR26795840	PACBIO_SMRT	4834098	6109786	5744261	1.2639	1.1883	yes
SRR26804258	PACBIO_SMRT	6534616	8349642	7981266	1.2778	1.2214	yes
SRR26937449	PACBIO_SMRT	4057055	3986390	4045322	0.9826	0.9971	yes
SRR26961105	PACBIO_SMRT	7111297	6856271	6905496	0.9641	0.9711	yes
SRR26961106	PACBIO_SMRT	7552305	7345474	7389593	0.9726	0.9785	yes
SRR27033692	PACBIO_SMRT	3484100	3263186	3297590	0.9366	0.9465	yes
SRR27033702	PACBIO_SMRT	7316924	5835254	6045012	0.7975	0.8262	yes
SRR27033706	PACBIO_SMRT	2187333	2107456	2108268	0.9635	0.9639	yes
SRR27033711	PACBIO_SMRT	6711709	6144815	6269459	0.9155	0.9341	yes
SRR27033717	PACBIO_SMRT	3721798	3695366	3710953	0.9929	0.9971	yes
SRR27033720	PACBIO_SMRT	6589281	6343050	6395510	0.9626	0.9706	yes
SRR27272519	PACBIO_SMRT	1841219	4763480	3681962	2.5871	1.9997	yes
SRR27467497	PACBIO_SMRT	2677288	3040197	2947816	1.1356	1.1010	yes
SRR27467500	PACBIO_SMRT	2763307	3221040	3138972	1.1656	1.1359	yes
SRR27467501	PACBIO_SMRT	2763294	3200090	3121272	1.1581	1.1295	yes
SRR27467502	PACBIO_SMRT	2628153	2998922	2930909	1.1411	1.1152	yes
SRR27467503	PACBIO_SMRT	2758816	3164355	3087356	1.1470	1.1191	yes
SRR27467504	PACBIO_SMRT	2763341	3204516	3121780	1.1597	1.1297	yes
SRR27467505	PACBIO_SMRT	2763289	3181346	3102480	1.1513	1.1227	yes
SRR27467508	PACBIO_SMRT	2758838	3231430	3144123	1.1713	1.1397	yes
SRR27467509	PACBIO_SMRT	2758839	3177982	3100072	1.1519	1.1237	yes
SRR27467511	PACBIO_SMRT	2614675	3067981	2967952	1.1734	1.1351	yes
SRR27467529	PACBIO_SMRT	2708221	3113737	3045102	1.1497	1.1244	yes
